"Name","Season","ActiveFungus","Sightings","X","Y","Sex","AgeClass","Time.in.pop","InfectedDensity.Annual","Infect_Assoc_Sight","SeasonNumeric"
1,"5",0,28,40.4166666666667,723.833333333333,"Female","Adult",1575.58333333333,0,0,5
10,"5",0,74,150,776.827586206897,"Male","Adult",1458.27586206897,0.000169688896962215,0.0135135135135135,5
100,"5",0,59,132.25,758.375,"Female","Juvenile",1467.75,0.000109647689446697,0.0169491525423729,5
105,"5",0,32,130,749.285714285714,"Male","Adult",1450.14285714286,7.83920277949216e-05,0.03125,5
120,"5",0,21,143.357142857143,752.714285714286,"Male","Adult",1452.85714285714,5.6670020267365e-05,0,5
142,"5",0,35,153,780.5,"Female","Adult",1399.5,0.000151596463698278,0,5
143,"5",1,35,131.333333333333,759.888888888889,"Male","Juvenile",1452,0.000113676172896541,0,5
144,"5",0,30,138.333333333333,768.833333333333,"Male","Adult",1463.58333333333,0.000153054733376197,0.0666666666666667,5
15,"5",0,35,138.4375,767.3125,"Female","Adult",1454.25,0.000163899634997528,0,5
153,"5",0,39,123.75,757.5,"Male","Adult",1462,9.65432441230408e-05,0.0512820512820513,5
156,"5",0,24,124.285714285714,738.285714285714,"Male","Adult",1374.28571428571,1.64223821951443e-05,0,5
163,"5",0,46,148.884615384615,789.653846153846,"Female","Adult",1427.15384615385,0.000161079577941409,0.130434782608696,5
166,"5",0,29,95,729.333333333333,"Male","Adult",1436,6.06208698224032e-07,0,5
179,"5",0,59,92.65,758.95,"Female","Adult",913.7,1.59120597517366e-05,0,5
180,"5",0,41,46.5,733.333333333333,"Female","Adult",898.5,0,0,5
181,"5",0,35,153.166666666667,773.166666666667,"Male","Adult",1410.55555555556,0.000192019200123697,0,5
188,"5",0,52,121.857142857143,761.142857142857,"Female","Juvenile",927,9.75026826664197e-05,0.0384615384615385,5
19,"5",0,23,144.1875,783.4375,"Male","Adult",1465.75,0.000168258741578744,0,5
193,"5",0,24,52,743.5,"Female","Adult",1450,1.76386068406075e-09,0,5
196,"5",0,28,170.25,770.5,"Female","Adult",928.875,0.000303103351662184,0.0714285714285714,5
199,"5",0,59,46.7777777777778,713.851851851852,"Male","Adult",916.555555555556,3.26226390297633e-12,0,5
201,"5",0,43,42.9230769230769,714.153846153846,"Female","Juvenile",898.769230769231,0,0,5
206,"5",0,63,94.36,763.04,"Female","Adult",913.04,3.13726985963753e-06,0,5
208,"5",1,44,154.166666666667,789.083333333333,"Male","Adult",898.666666666667,0.000135496097804638,0,5
21,"5",0,52,138.764705882353,764.058823529412,"Male","Adult",1458.64705882353,0.00014198930857487,0,5
212,"5",0,39,118.875,762.375,"Male","Adult",917.875,9.668569435322e-05,0,5
216,"5",1,47,163.571428571429,769.357142857143,"Male","Adult",918.214285714286,0.000274622139972674,0,5
219,"5",0,27,54.6363636363636,716.454545454545,"Female","Adult",1410.54545454545,0,0,5
224,"5",0,39,123.666666666667,761.4,"Female","Juvenile",914.533333333333,0.00012196587056426,0.0512820512820513,5
225,"5",0,24,52.8888888888889,721,"Female","Adult",907.555555555556,4.77225457002508e-12,0,5
229,"5",0,55,48.56,735.44,"Female","Adult",903.52,9.04761862235358e-10,0,5
23,"5",0,33,57.3333333333333,718.52380952381,"Male","Adult",1448.42857142857,2.4752799642202e-11,0,5
232,"5",0,62,86.8333333333333,754.583333333333,"Female","Adult",912.666666666667,8.95582421995079e-06,0,5
234,"5",0,44,142.578947368421,777.736842105263,"Female","Adult",902.105263157895,0.000165384688615287,0,5
236,"5",0,51,157.157894736842,756.157894736842,"Male","Juvenile",921.526315789474,0.0001012203283494,0,5
246,"5",0,31,34.3076923076923,726.923076923077,"Male","Adult",889.846153846154,0,0,5
25,"5",0,33,49.44,737.84,"Male","Adult",1457.56,4.70224198939441e-10,0,5
261,"5",0,43,108.5,720.4,"Male","Adult",897.8,2.51189135408943e-07,0,5
263,"5",0,23,141.2,751.5,"Male","Adult",893.5,5.68763068345298e-05,0,5
269,"5",0,55,153.464285714286,777,"Female","Adult",1158.75,0.000159588915770835,0,5
277,"5",0,21,121,762.8,"Female","Adult",1443.2,0.000106246028094684,0,5
28,"5",0,49,55.4827586206897,718.724137931035,"Female","Adult",1452.44827586207,4.30362457139317e-12,0,5
282,"5",0,47,130.6,762.5,"Male","Adult",867.6,0.000161577560341318,0.0425531914893617,5
29,"5",0,29,130.333333333333,750.944444444444,"Male","Adult",1452.83333333333,6.747981964248e-05,0,5
295,"5",0,21,111.2,720.7,"Female","Juvenile",847.8,1.60077283968657e-07,0,5
3,"5",0,28,75.5,733,"Male","Adult",1566.5,1.57588885992482e-07,0,5
304,"5",0,34,156.5,788.428571428571,"Female","Adult",841.214285714286,0.000142755128862315,0.0294117647058824,5
326,"5",0,22,137.166666666667,740.333333333333,"Male","Adult",829.666666666667,3.69163254314527e-05,0,5
327,"5",0,25,155.090909090909,785.363636363636,"Male","Adult",718.090909090909,0.000134444368547579,0,5
328,"5",1,55,195.222222222222,748.277777777778,"Male","Adult",714.055555555556,0.000541069833825109,0.0545454545454545,5
329,"5",0,44,180.454545454545,745.727272727273,"Female","Adult",881.045454545455,0.000443332881187982,0.0454545454545455,5
33,"5",0,78,122.25,762.05,"Female","Adult",1459,0.000116091429789667,0.0256410256410256,5
34,"5",0,63,46.75,738.3,"Female","Adult",1449.95,0,0,5
341,"5",0,33,153,766.75,"Female","Adult",874.75,0.000131242117205949,0,5
341,"5",1,33,136.583333333333,773.916666666667,"Female","Adult",905.916666666667,0.000168752907914195,0,5
